ID,Property Id,Date,Value
1,1,2009-03-01,476.4795422
2,1,2009-04-01,471.3650393
3,1,2009-05-01,469.1824565
4,1,2009-06-01,471.7777737
5,1,2009-07-01,477.8223433
6,1,2009-08-01,483.8945543
7,1,2009-09-01,487.3487172
8,1,2009-10-01,488.3510448
9,1,2009-11-01,489.2516392
10,1,2009-12-01,491.9420298
11,1,2010-01-01,495.7160958
12,1,2010-02-01,497.6739808
13,1,2010-03-01,495.3293663
14,1,2010-04-01,489.0115577
15,1,2010-05-01,481.8192239
16,1,2010-06-01,477.1322965
17,1,2010-07-01,475.9372811
18,1,2010-08-01,476.3839843
19,1,2010-09-01,475.9187991
20,1,2010-10-01,473.9557421
21,1,2010-11-01,472.5634015
22,1,2010-12-01,474.5099927
23,1,2011-01-01,480.4862447
24,1,2011-02-01,488.1133498
25,1,2011-03-01,493.7062142
26,1,2011-04-01,495.2176153
27,1,2011-05-01,493.6970436
28,1,2011-06-01,491.9719519
29,1,2011-07-01,491.8240482
30,1,2011-08-01,492.3099407
31,1,2011-09-01,490.7887131
32,1,2011-10-01,485.9578285
33,1,2011-11-01,486.9920392
34,1,2011-12-01,488.03195
35,1,2012-01-01,489.0370793
36,1,2012-02-01,489.9785429
37,1,2012-03-01,490.8407069
38,1,2012-04-01,491.6220596
39,1,2012-05-01,492.3352511
40,1,2012-06-01,493.0062996
41,1,2012-07-01,493.6730095
42,1,2012-08-01,494.3826941
43,1,2012-09-01,495.1893355
44,1,2012-10-01,496.150347
45,1,2012-11-01,497.3231268
46,1,2012-12-01,498.7616036
47,1,2013-01-01,500.5129759
48,1,2013-02-01,502.614834
49,1,2013-03-01,505.0928335
50,1,2013-04-01,507.9590548
51,1,2013-05-01,511.2111459
52,1,2013-06-01,514.8322966
53,1,2013-07-01,518.7920471
54,1,2013-08-01,523.047884
55,1,2013-09-01,527.5475297
56,1,2013-10-01,532.2317944
57,1,2013-11-01,537.0378221
58,1,2013-12-01,541.9025442
59,1,2014-01-01,546.7661376
60,1,2014-02-01,551.575288
61,1,2014-03-01,556.286068
62,1,2014-04-01,560.8662615
63,1,2014-05-01,565.297001
64,1,2014-06-01,569.5736219
65,1,2014-07-01,573.7056838
66,1,2014-08-01,577.7161588
67,1,2014-09-01,581.6398337
68,1,2014-10-01,585.5210191
69,1,2014-11-01,589.4107006
70,1,2014-12-01,593.3632956
71,1,2015-01-01,597.4332079
72,1,2015-02-01,601.6713786
73,1,2015-03-01,606.1220354
74,1,2015-04-01,610.8198299
75,1,2015-05-01,615.7875301
76,1,2015-06-01,621.0344019
77,1,2015-07-01,626.5553749
78,1,2015-08-01,632.3310413
79,1,2015-09-01,638.3284875
80,1,2015-10-01,644.5029119
81,1,2015-11-01,650.799933
82,1,2015-12-01,657.158455
83,1,2016-01-01,663.5139239
84,1,2016-02-01,669.801785
85,1,2016-03-01,675.9609407
86,1,2016-04-01,681.9370069
87,1,2016-05-01,687.68518
88,1,2016-06-01,693.1725462
89,1,2016-07-01,698.379701
90,1,2016-08-01,703.3015822
91,1,2016-09-01,707.9474711
92,1,2016-10-01,712.3401594
93,1,2016-11-01,716.5143332
94,1,2016-12-01,720.5142657
95,1,2017-01-01,724.3909562
96,1,2017-02-01,728.1988797
97,1,2017-03-01,731.9925384
98,1,2017-04-01,735.8230149
99,1,2017-05-01,739.7347298
100,1,2017-06-01,743.7625904
101,1,2017-07-01,747.9296989
102,1,2017-08-01,752.2457531
103,1,2017-09-01,756.7062323
104,1,2017-10-01,761.2924172
105,1,2017-11-01,765.9722419
106,1,2017-12-01,770.7019295
107,1,2018-01-01,775.4283153
108,1,2018-02-01,780.0917236
109,1,2018-03-01,784.6292298
110,1,2018-04-01,788.9781191
111,1,2018-05-01,793.0793391
112,1,2018-06-01,796.8807474
113,1,2018-07-01,800.3399633
114,1,2018-08-01,803.4266596
115,1,2018-09-01,806.1241592
116,1,2018-10-01,808.4302457
117,1,2018-11-01,810.3571395
118,1,2018-12-01,811.9306415
119,1,2019-01-01,813.1884947
120,1,2019-02-01,814.1780584
121,1,2019-03-01,814.9534315
122,2,2009-03-01,662.53338
123,2,2009-04-01,653.7005689
124,2,2009-05-01,679.4407408
125,2,2009-06-01,654.0071987
126,2,2009-07-01,687.6417132
127,2,2009-08-01,697.1102501
128,2,2009-09-01,705.0067978
129,2,2009-10-01,667.1789352
130,2,2009-11-01,707.0960519
131,2,2009-12-01,690.1754515
132,2,2010-01-01,707.4557029
133,2,2010-02-01,715.8432317
134,2,2010-03-01,706.3702854
135,2,2010-04-01,674.6582298
136,2,2010-05-01,661.5469001
137,2,2010-06-01,670.2212517
138,2,2010-07-01,650.8070459
139,2,2010-08-01,696.0165215
140,2,2010-09-01,679.1370696
141,2,2010-10-01,677.0742935
142,2,2010-11-01,692.1937967
143,2,2010-12-01,658.8021495
144,2,2011-01-01,691.8503154
145,2,2011-02-01,687.4650626
146,2,2011-03-01,684.2246293
147,2,2011-04-01,689.9850721
148,2,2011-05-01,696.5129132
149,2,2011-06-01,701.1698665
150,2,2011-07-01,664.6026377
151,2,2011-08-01,699.4170883
152,2,2011-09-01,675.5532291
153,2,2011-10-01,682.6956113
154,2,2011-11-01,677.62633
155,2,2011-12-01,672.2760938
156,2,2012-01-01,704.2244231
157,2,2012-02-01,686.8151036
158,2,2012-03-01,688.285169
159,2,2012-04-01,704.9932374
160,2,2012-05-01,693.9486412
161,2,2012-06-01,696.6947884
162,2,2012-07-01,701.7088893
163,2,2012-08-01,687.6865313
164,2,2012-09-01,669.8647025
165,2,2012-10-01,714.5451509
166,2,2012-11-01,687.8385644
167,2,2012-12-01,688.9772502
168,2,2013-01-01,699.9675057
169,2,2013-02-01,680.1470015
170,2,2013-03-01,686.8013632
171,2,2013-04-01,726.4280081
172,2,2013-05-01,722.4563191
173,2,2013-06-01,736.2635063
174,2,2013-07-01,727.4983609
175,2,2013-08-01,740.9147055
176,2,2013-09-01,752.5057207
177,2,2013-10-01,721.91101
178,2,2013-11-01,739.1863199
179,2,2013-12-01,759.6211759
180,2,2014-01-01,767.5512275
181,2,2014-02-01,773.1776683
182,2,2014-03-01,755.3053271
183,2,2014-04-01,780.2156678
184,2,2014-05-01,757.9648534
185,2,2014-06-01,743.3629005
186,2,2014-07-01,747.4124585
187,2,2014-08-01,780.9725211
188,2,2014-09-01,797.8492394
189,2,2014-10-01,777.3693573
190,2,2014-11-01,798.2521182
191,2,2014-12-01,775.910164
192,2,2015-01-01,777.6442111
193,2,2015-02-01,786.5128564
194,2,2015-03-01,831.8065849
195,2,2015-04-01,821.5757197
196,2,2015-05-01,808.3964366
197,2,2015-06-01,848.4169668
198,2,2015-07-01,804.0194371
199,2,2015-08-01,831.6632459
200,2,2015-09-01,838.2905155
201,2,2015-10-01,846.0415161
202,2,2015-11-01,855.3020691
203,2,2015-12-01,854.8859939
204,2,2016-01-01,842.6274385
205,2,2016-02-01,847.9144666
206,2,2016-03-01,881.4421553
207,2,2016-04-01,880.7678996
208,2,2016-05-01,903.1443417
209,2,2016-06-01,894.3847993
210,2,2016-07-01,925.7292791
211,2,2016-08-01,906.6397955
212,2,2016-09-01,930.8689152
213,2,2016-10-01,887.3645199
214,2,2016-11-01,927.1234494
215,2,2016-12-01,902.0529928
216,2,2017-01-01,917.3553373
217,2,2017-02-01,911.2666839
218,2,2017-03-01,909.7092872
219,2,2017-04-01,953.3611212
220,2,2017-05-01,953.0240761
221,2,2017-06-01,954.4629336
222,2,2017-07-01,937.1888982
223,2,2017-08-01,998.294562
224,2,2017-09-01,969.2081311
225,2,2017-10-01,947.3749836
226,2,2017-11-01,989.208688
227,2,2017-12-01,979.5156158
228,2,2018-01-01,971.4528615
229,2,2018-02-01,995.9790391
230,2,2018-03-01,971.3305579
231,2,2018-04-01,995.9931679
232,2,2018-05-01,985.5896291
233,2,2018-06-01,1034.927415
234,2,2018-07-01,1023.878445
235,2,2018-08-01,978.1072857
236,2,2018-09-01,1011.665447
237,2,2018-10-01,982.3401168
238,2,2018-11-01,984.1270169
239,2,2018-12-01,1014.33219
240,2,2019-01-01,1016.003458
241,2,2019-02-01,1039.351014
242,2,2019-03-01,1012.281791
243,3,2009-03-01,771.0349523
244,3,2009-04-01,746.1976229
245,3,2009-05-01,740.5893413
246,3,2009-06-01,752.0060862
247,3,2009-07-01,787.2894117
248,3,2009-08-01,777.7788251
249,3,2009-09-01,768.4323522
250,3,2009-10-01,780.4314861
251,3,2009-11-01,779.4963866
252,3,2009-12-01,782.0253745
253,3,2010-01-01,808.3607145
254,3,2010-02-01,777.2807074
255,3,2010-03-01,777.0477978
256,3,2010-04-01,770.2404978
257,3,2010-05-01,797.2432956
258,3,2010-06-01,750.5800364
259,3,2010-07-01,784.703251
260,3,2010-08-01,761.6313579
261,3,2010-09-01,754.1386428
262,3,2010-10-01,784.9526845
263,3,2010-11-01,759.0286552
264,3,2010-12-01,759.1358012
265,3,2011-01-01,790.5252571
266,3,2011-02-01,796.2313106
267,3,2011-03-01,805.1964713
268,3,2011-04-01,781.3482737
269,3,2011-05-01,776.691732
270,3,2011-06-01,806.7365161
271,3,2011-07-01,795.3028597
272,3,2011-08-01,763.6657964
273,3,2011-09-01,801.5204324
274,3,2011-10-01,775.6515806
275,3,2011-11-01,772.4725049
276,3,2011-12-01,763.7904511
277,3,2012-01-01,795.1311537
278,3,2012-02-01,766.8024254
279,3,2012-03-01,776.1906487
280,3,2012-04-01,763.3004949
281,3,2012-05-01,790.7808687
282,3,2012-06-01,780.759717
283,3,2012-07-01,772.1799255
284,3,2012-08-01,796.213497
285,3,2012-09-01,797.3696007
286,3,2012-10-01,767.3973257
287,3,2012-11-01,809.2419355
288,3,2012-12-01,777.296692
289,3,2013-01-01,785.1613815
290,3,2013-02-01,820.8022349
291,3,2013-03-01,813.797939
292,3,2013-04-01,785.701057
293,3,2013-05-01,782.9775504
294,3,2013-06-01,832.9150421
295,3,2013-07-01,812.2818134
296,3,2013-08-01,834.880195
297,3,2013-09-01,831.3314909
298,3,2013-10-01,807.1530824
299,3,2013-11-01,820.1209298
300,3,2013-12-01,810.4058162
301,3,2014-01-01,846.8563594
302,3,2014-02-01,839.2927413
303,3,2014-03-01,866.2534543
304,3,2014-04-01,855.2402058
